year,rid,rvote,stt,eth,inc,age,sex,edu,mar,rel,chu,kid,regist,weight
2008,1286,1,AL,White,$20-40k,45-64,Male,< HS,Married,Born-again Protestant,Frequent attenders,Kids,registered,5.51851844787598
2008,1425,0,WV,White,$75-150k,45-64,Male,Post-Grad,Married,Born-again Protestant,,Kids,registered,1.79999995231628
2008,30129,0,NV,White,$75-150k,30-44,Male,HS,Married,No religion,Nonattenders,,registered,3.8222222328186
2008,21045,0,MO,Black,$20-40k,30-44,Female,Some Coll,Single,Protestant (not born-again),Frequent attenders,,registered,2.30612254142761
2008,389,0,TX,Black,$40-75k,45-64,Female,Some Coll,Single,Born-again Protestant,"Very frequent
church attenders",,registered,0.549000024795532
2008,10663,1,GA,White,$40-75k,45-64,Male,HS,Single,,,No Kids,registered,2.56410264968872
2008,507,1,CA,White,$40-75k,30-44,Female,Some Coll,Married,Protestant (not born-again),"Very frequent
church attenders",,registered,5.98000001907349
2008,10653,1,TX,Other,$150k+,65+,Female,Post-Grad,Married,No religion,Nonattenders,No Kids,registered,1.14285719394684
2008,696,0,SD,White,$75-150k,45-64,Male,Some Coll,Single,Other religion,,No Kids,registered,1.17142856121063
2008,2737,1,UT,White,$75-150k,45-64,Male,Some Coll,Married,No religion,Nonattenders,,registered,0.58899998664856
2008,11063,0,TN,White,$40-75k,45-64,Female,Post-Grad,Married,Born-again Protestant,"Occasional
attenders",Kids,registered,1.15384614467621
2008,1008,1,IA,White,$75-150k,18-29,Male,Some Coll,Single,Catholic,Frequent attenders,,registered,1.55555558204651
2008,1364,1,OR,White,$75-150k,65+,Male,Some Coll,Married,Born-again Protestant,"Very frequent
church attenders",,registered,0.492000013589859
2008,342,1,NY,White,$75-150k,45-64,Male,Coll,Married,Jewish,Rare attenders,Kids,registered,1.52380955219269
2008,11260,0,WA,White,$0-20k,45-64,Male,Some Coll,Single,No religion,Nonattenders,No Kids,registered,1.74358975887299
2008,1305,1,NV,White,$20-40k,65+,Male,HS,Married,Born-again Protestant,"Very frequent
church attenders",,registered,1.63888883590698
2008,6,0,NH,White,$75-150k,45-64,Female,Some Coll,Married,Catholic,Frequent attenders,,registered,2.33333325386047
2008,1127,0,MS,Black,$40-75k,30-44,Male,Some Coll,Married,No religion,,Kids,registered,2.62857151031494
2008,1923,1,ME,White,$40-75k,45-64,Female,Some Coll,Married,Protestant (not born-again),Nonattenders,,registered,0.5
2008,88,0,IN,White,$40-75k,45-64,Male,Post-Grad,Single,Catholic,Frequent attenders,,registered,1.40384614467621
2008,1791,0,VA,White,$75-150k,30-44,Female,Post-Grad,Married,Jewish,"Occasional
attenders",,registered,1.44700002670288
2008,55,0,MD,White,$20-40k,45-64,Male,Coll,Single,Catholic,Frequent attenders,,registered,1.5306122303009
2008,31118,1,CA,White,$40-75k,45-64,Female,Coll,Single,Born-again Protestant,"Very frequent
church attenders",,registered,1.88888883590698
2008,36,1,TN,White,$0-20k,45-64,Female,HS,Married,Born-again Protestant,"Very frequent
church attenders",,registered,1.10199999809265
2008,2487,1,CA,White,$75-150k,30-44,Male,Coll,Married,Catholic,Rare attenders,,registered,0.745000004768372
2008,31403,1,CA,White,$40-75k,65+,Male,Some Coll,Married,Catholic,Rare attenders,,registered,1.68888890743256
2008,11427,1,IA,White,$20-40k,65+,Male,HS,Married,Protestant (not born-again),Nonattenders,No Kids,registered,2.2564103603363
2008,11079,0,CA,White,$40-75k,65+,Male,Coll,Single,No religion,Nonattenders,No Kids,registered,1.30952382087708
2008,2960,0,PA,White,$40-75k,45-64,Male,Some Coll,Married,Protestant (not born-again),Rare attenders,,registered,0.703000009059906
2008,142,1,IL,White,$150k+,45-64,Female,Post-Grad,Married,Protestant (not born-again),Frequent attenders,,registered,1.53846156597137
2008,10103,1,TX,White,$75-150k,45-64,Female,HS,Married,Born-again Protestant,Frequent attenders,Kids,registered,3.69230771064758
2008,2727,0,TX,Other,$20-40k,65+,Female,Coll,Single,Protestant (not born-again),"Very frequent
church attenders",,registered,0.492000013589859
2008,20579,1,MI,White,$75-150k,45-64,Female,Some Coll,Married,Catholic,Frequent attenders,,registered,1.42222225666046
2008,45,1,NC,White,$150k+,45-64,Male,HS,Married,Protestant (not born-again),Nonattenders,,registered,2.83333325386047
2008,1501,1,NC,White,$40-75k,45-64,Female,Some Coll,Married,Born-again Protestant,Rare attenders,,registered,0.625999987125397
2008,1121,1,IL,White,$20-40k,65+,Female,Some Coll,Single,Born-again Protestant,Frequent attenders,,registered,1.33333337306976
2008,171,1,UT,White,$75-150k,45-64,Female,Some Coll,Married,Mormon,"Occasional
attenders",,registered,1.71111106872559
2008,51852,0,NJ,White,$0-20k,65+,Female,HS,Single,Protestant (not born-again),Nonattenders,,registered,0.732999980449677
2008,50323,1,AL,White,$20-40k,45-64,Female,HS,Single,Protestant (not born-again),"Very frequent
church attenders",,registered,1.09599995613098
2008,51867,1,AL,White,$40-75k,18-29,Female,Some Coll,Married,Born-again Protestant,"Occasional
attenders",,registered,1.85099995136261
2008,10193,1,KY,White,$150k+,30-44,Male,Coll,Married,Protestant (not born-again),,Kids,registered,2.88571429252625
2008,10763,0,DC,White,$150k+,45-64,Male,Coll,Married,Catholic,,No Kids,registered,2.48571419715881
2008,1254,1,WI,White,$20-40k,65+,Male,< HS,Single,Born-again Protestant,Frequent attenders,,registered,1.63999998569489
2008,905,0,AZ,White,$75-150k,30-44,Female,Post-Grad,Married,Catholic,"Occasional
attenders",,registered,2.95918369293213
2008,506,1,ID,White,$0-20k,45-64,Female,Some Coll,Single,Born-again Protestant,Frequent attenders,,registered,0.504000008106232
2008,697,0,NY,Black,$0-20k,18-29,Female,Some Coll,Single,Catholic,Frequent attenders,No Kids,registered,9.85185146331787
2008,219,0,OR,Other,$0-20k,45-64,Female,HS,Single,Born-again Protestant,Nonattenders,,registered,1.36199998855591
2008,30186,1,NY,White,$150k+,45-64,Female,Coll,Married,No religion,Nonattenders,,registered,1.8222222328186
2008,1049,0,MA,White,$40-75k,65+,Female,Post-Grad,Single,Protestant (not born-again),"Occasional
attenders",,registered,1.55555558204651
2008,322,1,OH,White,$40-75k,45-64,Male,Some Coll,Married,Catholic,Frequent attenders,,registered,1.1777777671814
2008,20843,1,VA,White,$75-150k,45-64,Male,Coll,Married,Protestant (not born-again),Rare attenders,,registered,1.16326534748077
2008,1014,0,MI,White,$40-75k,45-64,Male,HS,Single,Protestant (not born-again),,No Kids,registered,3.37142848968506
2008,690,1,MO,White,$20-40k,65+,Male,Some Coll,Married,No religion,Nonattenders,No Kids,registered,2
2008,80329,1,TX,White,$40-75k,45-64,Male,Coll,Single,Protestant (not born-again),"Occasional
attenders",,registered,1.28888893127441
2008,2809,0,PA,White,$20-40k,65+,Male,< HS,Single,Born-again Protestant,Frequent attenders,,registered,2.11700010299683
2008,827,0,NJ,White,$75-150k,45-64,Male,Coll,Married,Jewish,,Kids,registered,2.51428580284119
2008,30828,0,DE,White,$75-150k,30-44,Female,Coll,Married,Protestant (not born-again),"Occasional
attenders",,registered,1.95555555820465
2008,30038,1,CA,Hispanic,$40-75k,18-29,Male,Coll,Married,No religion,Frequent attenders,,registered,3
2008,211,0,CA,White,$20-40k,45-64,Male,Some Coll,Single,Catholic,Rare attenders,,registered,1.79999995231628
2008,936,0,ID,White,$40-75k,45-64,Male,Some Coll,Married,No religion,Nonattenders,,registered,2.28888893127441
2008,11134,0,PA,White,$20-40k,65+,Female,HS,Married,Catholic,Frequent attenders,No Kids,registered,2.21428561210632
2008,854,1,NC,White,$20-40k,30-44,Female,HS,Single,Protestant (not born-again),"Occasional
attenders",,registered,3.17307686805725
2008,30668,1,CA,Hispanic,$75-150k,45-64,Female,Some Coll,Single,Born-again Protestant,Frequent attenders,,registered,4.91111087799072
2008,703,0,TX,White,$40-75k,30-44,Female,Some Coll,Single,Catholic,Rare attenders,,registered,2.22222232818604
2008,1695,1,WA,White,$40-75k,30-44,Male,< HS,Married,Born-again Protestant,Rare attenders,,registered,1.70000004768372
2008,1296,1,OH,White,$75-150k,45-64,Male,Post-Grad,Married,Catholic,Frequent attenders,,registered,1.28888893127441
2008,10252,0,WV,White,$0-20k,45-64,Male,HS,Single,Protestant (not born-again),Nonattenders,No Kids,registered,3.46153855323792
2008,406,0,AZ,White,$75-150k,65+,Male,Post-Grad,Married,Protestant (not born-again),,No Kids,registered,1.77142858505249
2008,11197,1,TN,White,$75-150k,45-64,Female,HS,Married,Born-again Protestant,Frequent attenders,No Kids,registered,2.38095235824585
2008,647,0,GA,Black,$40-75k,30-44,Male,Some Coll,Single,Protestant (not born-again),Rare attenders,,registered,0.638999998569489
2008,531,1,DE,White,$20-40k,45-64,Female,HS,Single,Protestant (not born-again),Rare attenders,,registered,3.51111102104187
2008,1700,1,SC,White,$75-150k,65+,Male,HS,Married,Born-again Protestant,"Very frequent
church attenders",,registered,2.20000004768372
2008,1047,0,VT,White,$40-75k,18-29,Male,Some Coll,Married,No religion,,Kids,registered,4.25714302062988
2008,10871,1,GA,White,$40-75k,45-64,Female,Some Coll,Married,Born-again Protestant,"Very frequent
church attenders",No Kids,registered,1.61904764175415
2008,822,0,NY,White,$40-75k,45-64,Female,Coll,Single,Jewish,Nonattenders,Kids,registered,2.53846144676208
2008,2427,0,MT,White,$0-20k,45-64,Male,< HS,Single,No religion,Nonattenders,,registered,1.08800005912781
2008,1056,0,MI,White,$0-20k,65+,Female,Some Coll,Single,Protestant (not born-again),Rare attenders,,registered,1.64444446563721
2008,906,1,MO,White,$20-40k,18-29,Male,Some Coll,Single,Protestant (not born-again),Rare attenders,,registered,7.36999988555908
2008,20518,0,MA,White,$75-150k,45-64,Female,Post-Grad,Single,Catholic,Rare attenders,No Kids,registered,3.51851844787598
2008,108,0,TX,White,$75-150k,45-64,Female,Coll,Married,Catholic,Frequent attenders,,registered,1.64444446563721
2008,1839,0,CT,White,$40-75k,65+,Male,HS,Married,Catholic,Nonattenders,,registered,2.22448968887329
2008,1276,0,CO,White,$20-40k,45-64,Male,Some Coll,Single,Protestant (not born-again),,No Kids,registered,3.45714282989502
2008,52006,0,TN,Black,$20-40k,45-64,Male,HS,Single,Born-again Protestant,"Very frequent
church attenders",,registered,1.2389999628067
2008,792,0,NJ,White,$20-40k,65+,Female,Coll,Married,Catholic,,No Kids,registered,1.34285712242126
2008,176,1,WV,White,$75-150k,65+,Male,HS,Married,Protestant (not born-again),Nonattenders,No Kids,registered,2.61538457870483
2008,1615,0,WY,White,$75-150k,45-64,Female,Post-Grad,Married,Born-again Protestant,Rare attenders,,registered,2.06122446060181
2008,20203,1,IL,White,$20-40k,45-64,Female,HS,Single,Born-again Protestant,"Occasional
attenders",No Kids,registered,13.962963104248
2008,70565,1,UT,White,$75-150k,45-64,Female,Some Coll,Married,Mormon,Frequent attenders,Kids,registered,2.4761905670166
2008,10688,1,NY,Other,$75-150k,45-64,Female,Coll,Married,Catholic,Frequent attenders,No Kids,registered,1.28205132484436
2008,1513,1,MI,White,$20-40k,45-64,Female,Coll,Married,Born-again Protestant,"Very frequent
church attenders",,registered,1.52777779102325
2008,31290,0,CA,Black,$150k+,30-44,Male,Post-Grad,Married,Protestant (not born-again),Rare attenders,,registered,2.20000004768372
2008,1506,1,FL,Hispanic,$0-20k,45-64,Female,Post-Grad,Married,No religion,Nonattenders,,registered,3.66666674613953
2008,331,1,IN,White,$75-150k,65+,Female,Post-Grad,Married,Born-again Protestant,,No Kids,registered,1.02857148647308
2008,1388,0,OH,Black,$0-20k,45-64,Male,Some Coll,Single,Catholic,"Very frequent
church attenders",No Kids,registered,1.77777779102325
2008,968,0,PA,White,$0-20k,45-64,Male,Some Coll,Married,Catholic,,Kids,registered,2.42857146263123
2008,143,1,WI,White,$75-150k,45-64,Male,Coll,Married,Catholic,"Occasional
attenders",,registered,1.61111116409302
2008,10975,0,SC,White,$20-40k,45-64,Female,Some Coll,Single,Protestant (not born-again),Nonattenders,Kids,registered,2.71794867515564
2008,1054,1,AZ,White,$40-75k,65+,Male,Coll,Married,Protestant (not born-again),Rare attenders,No Kids,registered,1.16666662693024
2008,80164,0,CA,Black,$75-150k,45-64,Female,Some Coll,Single,Born-again Protestant,"Very frequent
church attenders",,registered,3.20000004768372
2008,31384,1,PA,White,$150k+,65+,Male,HS,Married,Protestant (not born-again),Nonattenders,,registered,2.75555562973022
2008,580,0,MI,White,$75-150k,30-44,Male,Some Coll,Married,No religion,Nonattenders,,registered,2.35555553436279
2008,1690,0,CO,Hispanic,$0-20k,45-64,Female,< HS,Single,Catholic,Frequent attenders,,registered,2.07299995422363
2008,31450,0,CO,White,$75-150k,30-44,Male,Some Coll,Married,No religion,Nonattenders,,registered,3.97777771949768
2008,2762,0,CA,Black,$40-75k,45-64,Female,Coll,Single,Protestant (not born-again),"Very frequent
church attenders",,registered,0.708000004291534
2008,70605,1,FL,White,$75-150k,30-44,Male,Some Coll,Married,Catholic,Frequent attenders,Kids,registered,4.43589735031128
2008,922,0,CA,Hispanic,$75-150k,45-64,Male,Coll,Married,Born-again Protestant,Frequent attenders,,registered,3.32692313194275
2008,1473,0,FL,White,$20-40k,65+,Male,HS,Married,Protestant (not born-again),Rare attenders,,registered,1.75555551052094
2008,835,1,NY,Other,$0-20k,65+,Female,HS,Single,Catholic,Nonattenders,,registered,1.31700003147125
2008,653,0,CA,White,$40-75k,45-64,Male,Some Coll,Married,,Nonattenders,No Kids,registered,2.5238094329834
2008,80689,0,IN,Hispanic,$150k+,18-29,Male,HS,Single,Protestant (not born-again),,,registered,4.33333349227905
2008,80048,0,CA,Other,$75-150k,45-64,Male,Post-Grad,Married,Born-again Protestant,"Occasional
attenders",,registered,1.73333334922791
2008,2519,0,FL,White,$20-40k,45-64,Female,Post-Grad,Married,Jewish,Nonattenders,,registered,0.624000012874603
2008,666,1,MN,White,$40-75k,65+,Female,HS,Single,Catholic,Frequent attenders,No Kids,registered,2.46153855323792
2008,1335,1,CA,Hispanic,$75-150k,45-64,Male,Post-Grad,Married,Born-again Protestant,"Very frequent
church attenders",,registered,0.649999976158142
2008,268,1,CA,Hispanic,$0-20k,65+,Female,Some Coll,Married,Catholic,Nonattenders,No Kids,registered,2.7619047164917
2008,2607,1,MA,White,$40-75k,65+,Male,Some Coll,Married,Other religion,Rare attenders,,registered,0.612999975681305
2008,1888,0,CA,White,$150k+,30-44,Female,Coll,Single,No religion,Rare attenders,,registered,1.06099998950958
2008,10225,0,WV,White,$40-75k,45-64,Female,Post-Grad,Single,No religion,Nonattenders,No Kids,registered,1.30952382087708
2008,31359,0,TX,Black,$0-20k,65+,Female,Coll,Single,Born-again Protestant,"Occasional
attenders",,registered,1.26666665077209
2008,51169,0,NM,Hispanic,$75-150k,18-29,Male,HS,Single,Born-again Protestant,Frequent attenders,,registered,1.5460000038147
2008,533,0,CT,Other,$40-75k,30-44,Male,HS,Single,Protestant (not born-again),Nonattenders,No Kids,registered,4.56410264968872
2008,770,0,LA,White,$40-75k,45-64,Female,HS,Married,Born-again Protestant,Frequent attenders,,registered,1.44099998474121
2008,2900,0,UT,White,$40-75k,45-64,Male,Coll,Single,Mormon,Nonattenders,,registered,0.619000017642975
2008,30851,0,WI,White,$0-20k,65+,Male,< HS,Single,Protestant (not born-again),Frequent attenders,,registered,4.71111106872559
2008,10242,1,CT,White,$75-150k,65+,Male,Coll,Married,Protestant (not born-again),Rare attenders,No Kids,registered,1.42857146263123
2008,1049,0,IL,Black,$75-150k,30-44,Female,Coll,Single,Born-again Protestant,,Kids,registered,1.65714287757874
2008,932,1,FL,White,$150k+,45-64,Male,Some Coll,Married,Protestant (not born-again),Nonattenders,,registered,1.35555553436279
2008,1226,1,TX,White,$40-75k,45-64,Female,Some Coll,Single,Protestant (not born-again),Nonattenders,,registered,0.690999984741211
2008,10891,1,PA,White,$75-150k,45-64,Female,Some Coll,Married,Born-again Protestant,Frequent attenders,Kids,registered,3
2008,1418,0,MI,White,$75-150k,45-64,Female,Coll,Married,Protestant (not born-again),,No Kids,registered,1.17142856121063
2008,30537,0,OH,Other,$0-20k,45-64,Male,Post-Grad,Single,Catholic,"Occasional
attenders",,registered,1.33333337306976
2008,30315,0,FL,White,$150k+,65+,Male,Post-Grad,Married,,Nonattenders,,registered,1.1777777671814
2008,1114,0,RI,White,$40-75k,45-64,Female,Post-Grad,Married,Protestant (not born-again),"Occasional
attenders",,registered,0.915000021457672
2008,1590,0,NJ,White,$40-75k,65+,Female,Some Coll,Single,Catholic,"Very frequent
church attenders",,registered,1.26923072338104
2008,988,1,PA,White,$0-20k,65+,Female,HS,Single,Catholic,,No Kids,registered,2.77142858505249
2008,412,0,WA,White,$0-20k,45-64,Female,Some Coll,Single,No religion,Nonattenders,,registered,2.23333334922791
2008,30776,0,MI,White,$40-75k,30-44,Female,Coll,Married,Protestant (not born-again),Rare attenders,,registered,2.40000009536743
2008,950,0,NJ,White,$75-150k,45-64,Female,Post-Grad,Married,Catholic,Frequent attenders,,registered,0.792999982833862
2008,30875,1,TX,White,$75-150k,65+,Male,Coll,Married,Catholic,Frequent attenders,,registered,1.0888888835907
2008,1789,1,OH,White,$75-150k,45-64,Male,Post-Grad,Married,Born-again Protestant,Nonattenders,,registered,0.52700001001358
2008,1405,1,NC,White,$75-150k,45-64,Female,Coll,Married,Catholic,"Occasional
attenders",,registered,1.35555553436279
2008,20310,0,NC,Black,$40-75k,65+,Male,HS,Married,No religion,"Occasional
attenders",No Kids,registered,2.16666674613953
2008,20734,1,MN,White,$40-75k,30-44,Male,Some Coll,Married,No religion,"Occasional
attenders",,registered,6.06666660308838
2008,21646,0,AL,Black,$20-40k,30-44,Female,Some Coll,Single,Born-again Protestant,"Very frequent
church attenders",,registered,2.71153855323792
2008,1358,0,CA,White,$40-75k,45-64,Male,Some Coll,Single,Protestant (not born-again),Frequent attenders,No Kids,registered,6.25925922393799
2008,1331,1,MA,White,$20-40k,65+,Female,HS,Married,Catholic,Frequent attenders,No Kids,registered,6.77777767181396
2008,20291,1,IL,White,$75-150k,45-64,Female,Post-Grad,Single,Other religion,"Occasional
attenders",Kids,registered,1.69230771064758
2008,1544,0,CA,Hispanic,$20-40k,65+,Male,HS,Married,No religion,Nonattenders,,registered,6.15555572509766
2008,671,1,AR,White,$75-150k,45-64,Female,Some Coll,Married,Catholic,Frequent attenders,,registered,1.58333337306976
2008,717,0,NY,White,$75-150k,45-64,Male,HS,Married,Other religion,Rare attenders,,registered,2.77777767181396
2008,2239,1,MI,White,$75-150k,30-44,Male,Some Coll,Married,,Nonattenders,,registered,0.893999993801117
2008,655,1,PA,Other,$75-150k,45-64,Male,HS,Married,Protestant (not born-again),Frequent attenders,,registered,1.77777779102325
2008,70040,0,NJ,White,$0-20k,45-64,Female,Post-Grad,Single,Protestant (not born-again),Nonattenders,No Kids,registered,1.2380952835083
2008,80255,1,TN,White,$150k+,30-44,Female,Coll,Married,Born-again Protestant,Rare attenders,,registered,2.04444456100464
2008,10336,0,IL,Black,$20-40k,30-44,Female,Post-Grad,Single,,Rare attenders,Kids,registered,2.28205132484436
2008,458,0,NY,White,$75-150k,45-64,Female,Some Coll,Married,Catholic,,No Kids,registered,2.7428572177887
2008,980,1,WI,White,$40-75k,45-64,Female,Post-Grad,Married,Protestant (not born-again),Frequent attenders,,registered,1
2008,42,1,PA,White,$20-40k,65+,Male,HS,Married,Born-again Protestant,,No Kids,registered,3.34285712242126
2008,2406,1,SC,White,$75-150k,45-64,Male,HS,Married,Protestant (not born-again),"Occasional
attenders",,registered,1.00199997425079
2008,10832,1,LA,White,$75-150k,65+,Female,Some Coll,Single,Born-again Protestant,"Very frequent
church attenders",No Kids,registered,2.58974361419678
2008,30105,1,TX,White,$75-150k,65+,Male,Some Coll,Single,No religion,"Occasional
attenders",,registered,1.68888890743256
2008,10649,1,NJ,White,$150k+,65+,Male,Some Coll,Married,Catholic,,No Kids,registered,2.28571438789368
2008,505,1,MI,White,$40-75k,45-64,Male,Coll,Married,Born-again Protestant,"Very frequent
church attenders",,registered,2.25
2008,1392,0,NY,White,$150k+,45-64,Male,Coll,Married,Catholic,Frequent attenders,Kids,registered,1.58974361419678
2008,587,1,PA,White,$0-20k,45-64,Female,Coll,Single,Protestant (not born-again),Frequent attenders,,registered,1.28571426868439
2008,204,1,TX,White,$75-150k,30-44,Male,Coll,Married,Born-again Protestant,,Kids,registered,4.11428594589233
2008,34,1,MI,White,$40-75k,65+,Male,HS,Married,Born-again Protestant,"Very frequent
church attenders",No Kids,registered,1.66666662693024
2008,31149,0,GA,Black,$75-150k,45-64,Female,Post-Grad,Single,Protestant (not born-again),"Occasional
attenders",,registered,2.11111116409302
2008,10225,1,TX,White,$40-75k,18-29,Male,Coll,Married,Born-again Protestant,,Kids,registered,3.68571424484253
2008,1881,1,CT,White,$40-75k,45-64,Male,Some Coll,Single,Born-again Protestant,Rare attenders,,registered,3.75
2008,394,1,IN,White,$150k+,45-64,Male,HS,Married,Born-again Protestant,"Very frequent
church attenders",No Kids,registered,6.370370388031
2008,1816,1,OH,White,$40-75k,45-64,Male,Coll,Married,Born-again Protestant,"Very frequent
church attenders",,registered,0.493000000715256
2008,30817,1,NY,White,$75-150k,45-64,Female,Coll,Married,Born-again Protestant,"Very frequent
church attenders",,registered,1.48888885974884
2008,20022,0,NJ,White,$75-150k,18-29,Female,Some Coll,Single,Protestant (not born-again),Rare attenders,,registered,1.92307686805725
2008,1135,1,WI,White,$40-75k,30-44,Male,Some Coll,Married,Catholic,Rare attenders,No Kids,registered,4.4761905670166
2008,1602,1,NY,White,$150k+,65+,Male,HS,Married,Jewish,Rare attenders,,registered,4.03846168518066
2008,20855,0,OH,White,$40-75k,45-64,Female,Some Coll,Single,Protestant (not born-again),Nonattenders,,registered,1.55555558204651
2008,10957,0,MA,White,$150k+,18-29,Female,Some Coll,Single,Jewish,,No Kids,registered,5.45714282989502
2008,629,0,TX,Hispanic,$75-150k,45-64,Female,Post-Grad,Married,No religion,Nonattenders,,registered,2.72222232818604
2008,20145,0,CA,White,$20-40k,30-44,Female,Some Coll,Married,Protestant (not born-again),Nonattenders,No Kids,registered,2.87179493904114
2008,1440,1,IN,Hispanic,$40-75k,45-64,Male,Some Coll,Married,Born-again Protestant,"Very frequent
church attenders",,registered,3.30769228935242
2008,534,0,PA,White,$20-40k,30-44,Male,HS,Single,Catholic,Rare attenders,,registered,4.68888902664185
2008,341,0,FL,Black,$40-75k,65+,Female,Coll,Single,Born-again Protestant,,No Kids,registered,1.25714290142059
2008,1991,0,DC,White,$75-150k,30-44,Male,Coll,Single,Protestant (not born-again),Nonattenders,,registered,0.783999979496002
2008,20869,1,OH,White,$75-150k,45-64,Male,Post-Grad,Married,Born-again Protestant,"Occasional
attenders",,registered,1
2008,1722,0,NY,White,$40-75k,30-44,Male,Coll,Married,Protestant (not born-again),Rare attenders,,registered,2.17307686805725
2008,30654,0,NM,Hispanic,$75-150k,30-44,Male,Post-Grad,Single,Catholic,Rare attenders,,registered,2.84444451332092
2008,1452,1,KY,Hispanic,$0-20k,18-29,Male,Coll,Single,No religion,"Occasional
attenders",,registered,3.20000004768372
2008,10974,0,PA,Other,$0-20k,18-29,Female,Some Coll,Single,No religion,Rare attenders,No Kids,registered,2.2380952835083
2008,20522,0,KY,White,$20-40k,18-29,Female,HS,Single,No religion,Nonattenders,,registered,3.11538457870483
2008,990,1,FL,White,$150k+,65+,Male,Coll,Single,Jewish,"Occasional
attenders",,registered,1
2008,30865,0,IL,White,$40-75k,30-44,Male,Some Coll,Married,,Nonattenders,,registered,3.53333330154419
2008,20240,0,MO,Black,$75-150k,45-64,Male,Post-Grad,Single,Protestant (not born-again),Frequent attenders,,registered,1
2008,1151,1,OK,White,$0-20k,65+,Male,Coll,Single,Born-again Protestant,Frequent attenders,,registered,1
2008,240,1,WI,White,$75-150k,30-44,Female,Coll,Married,Protestant (not born-again),Rare attenders,Kids,registered,2.20512819290161
2008,2846,1,IN,White,$20-40k,65+,Female,Post-Grad,Single,Born-again Protestant,Frequent attenders,,registered,0.493000000715256
2008,1960,1,TX,White,$75-150k,45-64,Female,HS,Married,Born-again Protestant,"Very frequent
church attenders",,registered,2.79999995231628
2008,30852,0,AL,Black,$0-20k,65+,Female,Some Coll,Single,Protestant (not born-again),Frequent attenders,,registered,1.11111116409302
2008,1517,0,NY,White,$150k+,45-64,Male,Post-Grad,Single,Catholic,Frequent attenders,No Kids,registered,2.14285707473755
