elec,county,precinct_id,p_name,voter_id,PRS,PTY,USSEN,SHF,SHF_ncands,CLR,CLR_ncands,COR,COR_ncands,ALC,CAP,SCH,BND,USHOU,USHOU_ncands,HOU,HOU_ncands,SEN,SEN_ncands,CCL,CCL_ncands,SCB,SCB_ncands
2016-11-08,Lexington,45063-59,PRECINCT 59 - St. Michael,45063-055976,1,0,1,1,1,1,1,1,2,NA,NA,NA,NA,1,3,NA,NA,1,1,1,1,0,3
2016-11-08,Williamsburg,45089-12,PRECINCT 13 - Indiantown,45089-04558,-1,-1,-1,-1,1,-1,1,-1,1,NA,-1,NA,NA,-1,4,-1,1,-1,1,NA,NA,0,2
2016-11-08,Abbeville,45001-10,PRECINCT 10 - Due West,45001-05579,1,0,1,-1,1,1,1,-1,1,NA,1,NA,NA,1,2,1,1,-1,2,0,2,NA,NA
2016-11-08,Berkeley,45015-30,PRECINCT 35 - Pimlico,45015-21885,-1,-1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,4,-1,2,0,1,1,1,0,2
2016-11-08,Greenville,45045-092,PRECINCT 306 - SALUDA,45045-107937,1,0,1,1,1,1,1,0,1,-1,NA,NA,NA,1,3,1,1,1,2,NA,NA,NA,NA
2016-11-08,Pickens,45077-41,PRECINCT 142 - Crestview,45077-28095,1,0,1,1,1,1,1,1,1,-1,NA,NA,NA,1,2,1,1,1,1,1,1,0,1
2016-11-08,Berkeley,45015-03,PRECINCT 3 - Bonneau,45015-00920,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,0,2,1,1,NA,NA,0,2
2016-11-08,Horry,45051-061,PRECINCT 163 - Live Oak,45051-057507,1,0,-1,1,1,1,1,0,1,NA,1,NA,NA,1,2,1,1,1,1,1,1,1,1
2016-11-08,York,45091-019,PRECINCT 19 - Highland Park,45091-016577,-1,-1,-1,0,1,0,1,0,1,NA,NA,NA,NA,-1,3,0,1,0,1,-1,1,NA,NA
2016-11-08,Oconee,45073-23,PRECINCT 24 - Walhalla No 1,45073-15352,1,0,1,1,1,1,1,1,1,NA,NA,NA,NA,1,2,1,1,1,1,1,1,0,1
2016-11-08,Greenville,45045-020,PRECINCT 226 - GREENVILLE 26,45045-021006,-1,-1,-1,1,1,0,1,0,1,1,NA,NA,NA,-1,3,-1,1,-1,2,0,1,NA,NA
2016-11-08,Darlington,45031-03,PRECINCT 3 - Bethel,45031-01702,-1,0,NA,-1,1,-1,1,-1,1,NA,NA,1,1,0,2,0,1,-1,1,0,1,0,1
2016-11-08,Greenville,45045-021,PRECINCT 227 - GREENVILLE 27,45045-022116,1,0,1,1,1,1,1,0,1,1,NA,NA,NA,1,3,0,1,1,2,1,1,NA,NA
2016-11-08,Berkeley,45015-51,PRECINCT 57 - Liberty Hall,45015-39130,-1,0,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,4,1,1,1,1,1,1,0,2
2016-11-08,Greenville,45045-084,PRECINCT 297 - POINSETT,45045-097467,1,0,1,1,1,1,1,0,1,-1,NA,NA,NA,1,3,1,1,1,2,NA,NA,NA,NA
2016-11-08,Aiken,45003-62,PRECINCT 62 - Belvedere No 62,45003-42975,1,0,-1,1,2,1,1,1,1,NA,NA,NA,NA,-1,3,1,1,1,1,1,1,0,1
2016-11-08,Georgetown,45043-24,PRECINCT 124 - Pawleys Isl 3,45043-15880,1,0,1,1,3,-1,1,1,1,NA,NA,NA,1,1,2,1,1,1,1,1,1,0,1
2016-11-08,Lexington,45063-94,PRECINCT 94 - Platt Springs 1,45063-092577,1,0,1,1,1,1,1,1,2,NA,NA,NA,NA,0,3,1,2,1,1,1,1,0,6
2016-11-08,Lancaster,45057-27,PRECINCT 32 - Possum Hollow,45057-18611,-1,0,1,1,2,-1,1,1,1,-1,NA,NA,NA,1,3,1,2,1,1,1,1,NA,NA
2016-11-08,Greenville,45045-132,PRECINCT 350 - FROHAWK,45045-161122,1,1,1,1,1,1,1,0,1,-1,NA,NA,NA,1,3,1,1,1,1,1,1,NA,NA
2016-11-08,Aiken,45003-20,PRECINCT 20 - Millbrook,45003-12140,0,0,-1,0,2,0,1,0,1,NA,NA,NA,NA,-1,3,1,1,0,1,0,1,0,1
2016-11-08,Dorchester,45035-54,PRECINCT 83 - Ashborough W 2,45035-32276,1,0,1,1,1,1,1,1,2,NA,NA,NA,-1,1,4,1,2,1,1,NA,NA,0,6
2016-11-08,Berkeley,45015-30,PRECINCT 35 - Pimlico,45015-22091,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,1,2,1,1,1,1,0,2
2016-11-08,Williamsburg,45089-13,PRECINCT 14 - Kingstree No. 1,45089-05673,-1,-1,-1,-1,1,-1,1,-1,1,NA,-1,NA,NA,-1,4,-1,1,-1,1,NA,NA,NA,NA
2016-11-08,Greenville,45045-052,PRECINCT 258 - FORK SHOALS,45045-055896,1,1,1,1,1,1,1,0,1,1,NA,NA,NA,1,2,1,1,1,1,NA,NA,NA,NA
2016-11-08,Greenville,45045-077,PRECINCT 289 - OAKVIEW,45045-090673,NA,0,1,1,1,1,1,0,1,1,NA,NA,NA,1,3,1,1,1,1,1,2,NA,NA
2016-11-08,Spartanburg,45083-074,PRECINCT 116 - Greater St James,45083-072811,1,0,-1,1,2,1,1,1,1,1,NA,NA,NA,1,3,-1,2,-1,2,NA,NA,NA,NA
2016-11-08,Florence,45041-33,PRECINCT 34 - Hannah,45041-20682,1,0,1,-1,2,0,1,0,1,NA,NA,NA,NA,1,2,-1,1,1,1,0,1,NA,NA
2016-11-08,Lexington,45063-45,PRECINCT 45 - W Columbia No 2,45063-043202,-1,-1,-1,0,1,0,1,0,2,NA,NA,NA,NA,-1,3,-1,3,-1,2,NA,NA,0,6
2016-11-08,Aiken,45003-02,PRECINCT 2 - Aiken No. 2,45003-00893,1,0,1,1,2,1,1,1,1,NA,NA,NA,NA,1,3,1,1,1,2,1,1,NA,NA
2016-11-08,Marion,45067-04,PRECINCT 4 - Rains,45067-01991,-1,-1,-1,-1,3,-1,1,-1,1,NA,NA,NA,NA,-1,2,-1,2,-1,1,NA,NA,NA,NA
2016-11-08,Kershaw,45055-18,PRECINCT 125 - Elgin #4,45055-10639,1,1,1,NA,NA,1,1,NA,NA,NA,NA,-1,-1,1,3,0,1,0,1,1,1,0,1
2016-11-08,Richland,45079-119,PRECINCT 486 - Rice Creek 2,45079-089172,1,0,1,-1,1,-1,1,-1,1,NA,NA,NA,NA,1,3,1,3,-1,1,1,2,0,12
2016-11-08,York,45091-017,PRECINCT 17 - Fort Mill No. 3,45091-015885,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,1,3,1,2,1,1,0,1,NA,NA
2016-11-08,Horry,45051-060,PRECINCT 162 - Little River #3,45051-056998,1,0,1,1,1,1,1,0,1,NA,1,NA,NA,1,2,1,1,1,1,NA,NA,1,1
2016-11-08,Richland,45079-078,PRECINCT 445 - Keels 1,45079-054989,-1,-1,-1,-1,1,-1,1,-1,1,NA,NA,NA,NA,-1,4,-1,1,-1,1,-1,2,0,12
2016-11-08,Pickens,45077-35,PRECINCT 136 - Simpson,45077-24054,1,0,-1,1,1,1,1,1,1,-1,NA,NA,NA,1,2,1,1,1,1,1,1,0,1
2016-11-08,Dillon,45033-13,PRECINCT 13 - Oakland,45033-07415,-1,0,-1,0,2,-1,1,-1,1,NA,NA,NA,NA,-1,2,-1,1,-1,1,-1,1,NA,NA
2016-11-08,Anderson,45007-67,PRECINCT 84 - Anderson 6/1,45007-51466,0,0,-1,1,1,1,1,1,1,NA,NA,NA,NA,-1,2,1,1,1,1,-1,2,NA,NA
2016-11-08,Pickens,45077-18,PRECINCT 118 - Holly Springs,45077-11466,1,0,NA,0,1,0,1,1,1,NA,NA,NA,NA,0,2,0,2,0,1,0,1,0,2
2016-11-08,Greenville,45045-019,PRECINCT 225 - GREENVILLE 25,45045-020527,-1,-1,-1,0,1,0,1,0,1,0,NA,NA,NA,-1,3,-1,1,0,2,0,1,NA,NA
2016-11-08,Charleston,45019-049,PRECINCT 306 - Mt Pleasant 6,45019-031043,1,1,1,1,1,1,1,1,1,NA,-1,NA,-1,1,4,1,2,1,1,1,1,0,9
2016-11-08,Charleston,45019-157,PRECINCT 605 - N Charleston 5,45019-105177,-1,-1,-1,0,1,0,1,0,1,NA,1,NA,1,-1,4,0,2,-1,1,NA,NA,0,9
2016-11-08,Richland,45079-001,PRECINCT 101 - Ward 1,45079-000082,0,0,-1,0,1,0,1,0,1,NA,NA,NA,NA,-1,4,0,1,0,2,NA,NA,NA,NA
2016-11-08,Lexington,45063-76,PRECINCT 76 - Lake Murray #2,45063-074590,1,0,1,1,1,1,1,1,2,NA,NA,NA,NA,1,3,1,1,1,1,0,1,0,6
2016-11-08,Greenville,45045-136,PRECINCT 354 - HILLCREST,45045-165117,1,0,1,1,1,1,1,0,1,1,NA,NA,NA,1,3,1,1,1,1,1,1,NA,NA
2016-11-08,Horry,45051-016,PRECINCT 116 - Coastal Lane #1,45051-014729,-1,-1,-1,0,1,0,1,0,1,NA,-1,NA,NA,-1,2,0,1,0,1,-1,2,0,1
2016-11-08,Williamsburg,45089-15,PRECINCT 16 - Kingstree No. 3,45089-07372,-1,-1,-1,-1,1,-1,1,-1,1,NA,-1,NA,NA,-1,4,-1,1,-1,1,NA,NA,0,1
2016-11-08,Florence,45041-56,PRECINCT 57 - South Florence 2,45041-35112,-1,-1,-1,1,2,0,1,0,1,NA,NA,NA,NA,-1,2,-1,1,0,1,0,1,0,3
2016-11-08,Greenville,45045-093,PRECINCT 307 - SANDY FLAT,45045-108721,1,0,1,1,1,1,1,0,1,-1,NA,NA,NA,1,3,1,1,1,1,0,1,NA,NA
2016-11-08,Laurens,45059-10,PRECINCT 10 - Barksdale-Narnie,45059-04958,1,0,1,1,2,1,1,1,2,NA,NA,NA,NA,1,2,1,2,1,1,0,1,NA,NA
2016-11-08,Kershaw,45055-23,PRECINCT 132 - Lugoff #1,45055-13437,-1,0,-1,NA,NA,0,1,NA,NA,NA,NA,-1,-1,0,3,0,1,-1,1,-1,2,0,1
2016-11-08,Greenville,45045-104,PRECINCT 318 - SOUTHSIDE,45045-124977,-1,0,NA,0,1,0,1,0,1,0,NA,NA,NA,-1,3,-1,2,-1,2,0,2,NA,NA
2016-11-08,Spartanburg,45083-056,PRECINCT 90 - Startex Fire Station,45083-056042,-1,-1,-1,0,2,0,1,0,1,-1,NA,NA,NA,-1,3,0,1,0,1,NA,NA,NA,NA
2016-11-08,Spartanburg,45083-034,PRECINCT 51 - Lyman Town Hall,45083-036529,1,0,1,1,2,1,1,1,1,1,NA,NA,NA,1,3,0,1,1,1,NA,NA,NA,NA
2016-11-08,Dillon,45033-03,PRECINCT 3 - South Dillon,45033-02513,0,0,-1,0,2,0,1,0,1,NA,NA,NA,NA,-1,2,0,1,0,1,0,2,NA,NA
2016-11-08,York,45091-058,PRECINCT 58 - Fort Mill No. 2,45091-053478,1,0,1,1,1,1,1,1,1,NA,NA,NA,NA,-1,3,1,2,1,1,1,1,NA,NA
2016-11-08,Richland,45079-114,PRECINCT 481 - Pinewood,45079-084187,-1,-1,-1,-1,1,-1,1,-1,1,NA,NA,NA,NA,-1,4,-1,1,-1,1,NA,NA,0,1
2016-11-08,Lexington,45063-92,PRECINCT 92 - Red Bank South #2,45063-090148,-1,-1,-1,1,1,0,1,0,2,NA,NA,NA,NA,-1,3,1,1,1,1,1,1,0,6
2016-11-08,Florence,45041-35,PRECINCT 36 - Johnsonville,45041-21689,-1,-1,-1,1,2,0,1,0,1,NA,NA,NA,NA,-1,2,-1,1,1,1,0,1,0,1
2016-11-08,Lexington,45063-30,PRECINCT 30 - Westover,45063-029819,1,1,1,1,1,1,1,0,2,NA,NA,NA,NA,1,3,1,3,1,2,NA,NA,0,6
2016-11-08,Berkeley,45015-59,PRECINCT 65 - Cane Bay,45015-49006,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,1,2,1,1,NA,NA,0,2
2016-11-08,Anderson,45007-54,PRECINCT 71 - Williamston,45007-42895,1,0,1,1,1,1,1,1,1,NA,NA,NA,NA,1,2,1,2,1,1,1,1,0,4
2016-11-08,Lexington,45063-75,PRECINCT 75 - Gaston #2,45063-073298,1,0,1,1,1,1,1,0,2,NA,NA,0,NA,1,3,-1,1,1,1,0,1,0,6
2016-11-08,Chesterfield,45025-16,PRECINCT 16 - Middendorf,45025-09589,1,0,1,NA,NA,0,1,0,1,NA,NA,NA,NA,1,2,1,2,0,1,-1,2,0,2
2016-11-08,Marion,45067-13,PRECINCT 13 - N West Mullins,45067-07425,-1,-1,-1,-1,3,-1,1,-1,1,NA,NA,NA,NA,-1,2,-1,2,-1,1,-1,1,NA,NA
2016-11-08,York,45091-015,PRECINCT 15 - Fort Mill No. 1,45091-012159,-1,-1,-1,1,1,1,1,1,1,NA,NA,NA,NA,-1,3,-1,2,1,1,1,1,NA,NA
2016-11-08,Greenville,45045-151,PRECINCT 369 - WARE PLACE,45045-184636,-1,0,-1,0,1,0,1,0,1,-1,NA,NA,NA,-1,2,0,1,0,1,NA,NA,NA,NA
2016-11-08,Dillon,45033-01,PRECINCT 1 - East Dillon,45033-00919,1,1,1,0,2,0,1,0,1,NA,NA,NA,NA,1,2,0,1,0,1,0,2,NA,NA
2016-11-08,Spartanburg,45083-066,PRECINCT 107 - Jesse Bobo Elementary,45083-065504,-1,-1,-1,0,2,0,1,0,1,-1,NA,NA,NA,-1,3,-1,2,-1,2,-1,1,NA,NA
2016-11-08,York,45091-055,PRECINCT 55 - Allison Creek,45091-049602,1,0,1,1,1,1,1,1,1,NA,1,NA,NA,1,3,1,2,1,1,1,1,NA,NA
2016-11-08,Florence,45041-53,PRECINCT 54 - Savannah Grove,45041-32936,1,0,1,1,2,0,1,0,1,NA,NA,NA,NA,-1,2,1,1,1,1,0,2,0,1
2016-11-08,Beaufort,45013-56,PRECINCT 219 - Hilton Head 8,45013-32812,1,1,NA,NA,NA,1,1,1,1,NA,1,1,-1,1,4,1,1,NA,NA,NA,NA,0,1
2016-11-08,Greenville,45045-118,PRECINCT 334 - TUBBS MOUNTAIN,45045-143266,-1,-1,-1,0,1,0,1,0,1,-1,NA,NA,NA,-1,3,0,1,0,1,0,1,NA,NA
2016-11-08,Horry,45051-053,PRECINCT 155 - Jordanville,45051-049133,1,0,1,1,1,1,1,0,1,NA,1,NA,NA,-1,2,1,2,1,1,NA,NA,1,1
2016-11-08,Florence,45041-31,PRECINCT 32 - Gilbert,45041-19029,-1,-1,-1,-1,2,0,1,0,1,NA,NA,NA,NA,-1,2,-1,1,-1,1,NA,NA,0,3
2016-11-08,Sumter,45085-13,PRECINCT 113 - Mayewood,45085-06679,1,1,1,-1,1,-1,1,-1,1,NA,NA,NA,NA,1,4,-1,1,1,2,0,1,NA,NA
2016-11-08,Greenwood,45047-26,PRECINCT 26 - New Market,45047-12041,1,0,1,1,2,1,1,1,1,NA,-1,NA,NA,1,2,-1,2,-1,2,NA,NA,NA,NA
2016-11-08,Aiken,45003-08,PRECINCT 8 - Beech Island,45003-04453,-1,-1,-1,-1,2,0,1,0,1,NA,NA,NA,NA,-1,3,0,1,0,1,0,1,NA,NA
2016-11-08,Lexington,45063-15,PRECINCT 15 - Hollow Creek,45063-014922,1,0,0,1,1,1,1,1,2,NA,NA,NA,NA,1,3,1,1,1,1,NA,NA,0,6
2016-11-08,Berkeley,45015-26,PRECINCT 31 - Moncks Corner 1,45015-18285,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,-1,1,1,1,NA,NA,NA,NA
2016-11-08,Richland,45079-065,PRECINCT 432 - Friarsgate 2,45079-046501,-1,0,-1,-1,1,-1,1,-1,1,NA,NA,NA,NA,-1,3,0,1,0,2,NA,NA,0,1
2016-11-08,Charleston,45019-074,PRECINCT 331 - Mt Pleasant 31,45019-046339,1,0,1,1,1,1,1,1,1,NA,-1,NA,-1,1,4,1,1,1,1,NA,NA,0,9
2016-11-08,Horry,45051-093,PRECINCT 197 - Sea Winds,45051-084817,1,1,1,1,1,1,1,0,1,NA,1,NA,NA,1,2,1,1,1,1,1,2,1,1
2016-11-08,Anderson,45007-68,PRECINCT 85 - Anderson 6/2,45007-52281,-1,-1,-1,0,1,0,1,0,1,NA,NA,NA,NA,-1,2,0,1,0,1,-1,2,NA,NA
2016-11-08,Cherokee,45021-02,PRECINCT 2 - Alma Mill,45021-01287,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,3,0,1,0,1,-1,2,NA,NA
2016-11-08,Kershaw,45055-07,PRECINCT 109 - Hobkirk's Hill,45055-03526,1,0,1,NA,NA,1,1,NA,NA,NA,NA,1,1,1,3,-1,1,-1,1,0,2,0,1
2016-11-08,Anderson,45007-76,PRECINCT 121 - Powdersville,45007-60103,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,1,2,1,2,1,1,1,1,0,4
2016-11-08,Beaufort,45013-91,PRECINCT 366 - Sun City 7,45013-55834,1,1,NA,NA,NA,1,1,1,1,NA,0,0,0,1,4,1,2,NA,NA,NA,NA,0,3
2016-11-08,Aiken,45003-74,PRECINCT 74 - Belvedere No 74,45003-51760,1,0,1,1,2,1,1,1,1,NA,NA,NA,NA,1,3,1,1,1,1,1,1,0,1
