store_id,chain,location,state,pre_post,wage,full,part
41,burgerking,PA,PA,1,4.25,0,32
42,kfc,PA,PA,0,4.25,0,9
42,kfc,PA,PA,1,4.25,2,9
43,wendys,PA,PA,0,4.25,30,10
43,wendys,PA,PA,1,4.25,0,30
44,wendys,PA,PA,0,4.25,4,19
44,wendys,PA,PA,1,4.35,5,20
45,wendys,PA,PA,0,4.25,12,20
45,wendys,PA,PA,1,4.5,10,35
46,burgerking,PA,PA,0,4.75,8,18
46,burgerking,PA,PA,1,4.5,8,27
47,burgerking,PA,PA,0,4.87,0,25
47,burgerking,PA,PA,1,5,15,15
48,burgerking,PA,PA,0,4.75,2,21
48,burgerking,PA,PA,1,4.75,27.5,8
49,kfc,PA,PA,0,4.5,1,9
49,kfc,PA,PA,1,5,0,18
50,roys,PA,PA,0,4.25,5,20
50,roys,PA,PA,1,4.35,0,20
51,burgerking,PA,PA,0,4.25,25,20
51,burgerking,PA,PA,1,4.25,12,23
52,burgerking,PA,PA,0,4.25,37.5,2
52,burgerking,PA,PA,1,4.9,8,25
53,burgerking,PA,PA,0,4.75,5,27
53,burgerking,PA,PA,1,4.5,26,15
54,burgerking,PA,PA,0,4.5,25,8
54,burgerking,PA,PA,1,4.5,10,16
55,burgerking,PA,PA,0,4.25,6,30
55,burgerking,PA,PA,1,4.75,5,30
56,burgerking,PA,PA,0,4.25,8,28
56,burgerking,PA,PA,1,6.25,6,20
57,burgerking,PA,PA,0,4.5,32,25
57,burgerking,PA,PA,1,4.35,8,30
58,kfc,PA,PA,0,4.5,1,9
58,kfc,PA,PA,1,4.5,4,12
59,roys,PA,PA,0,4.5,2,16
59,roys,PA,PA,1,4.5,4,15
60,wendys,PA,PA,0,4.75,20,10
60,wendys,PA,PA,1,5,21,5.5
61,burgerking,PA,PA,0,4.25,14,15
61,burgerking,PA,PA,1,4.75,30,15
62,burgerking,PA,PA,0,4.75,7.5,14
62,burgerking,PA,PA,1,4.5,35,6.5
63,roys,PA,PA,0,4.75,4,16
63,roys,PA,PA,1,4.75,3,13
64,roys,PA,PA,0,4.5,5,20
64,roys,PA,PA,1,4.25,23,16
65,roys,PA,PA,0,4.75,6,22.5
65,roys,PA,PA,1,4.91,2,12
66,burgerking,PA,PA,0,4.25,2.5,20
66,burgerking,PA,PA,1,4.4,0,12
67,burgerking,PA,PA,0,4.35,2,30
67,burgerking,PA,PA,1,4.25,3,23
68,roys,centralNJ,NJ,0,5,2,2
68,roys,centralNJ,NJ,1,5.05,5,2
69,kfc,centralNJ,NJ,0,5.12,10,8
69,kfc,centralNJ,NJ,1,5.05,4,17
70,burgerking,northNJ,NJ,0,5.56,30,15
70,burgerking,northNJ,NJ,1,5.05,10,20
71,kfc,centralNJ,NJ,0,5,4,10
71,kfc,centralNJ,NJ,1,5.05,0,7
72,kfc,northNJ,NJ,0,5,6,4
72,kfc,northNJ,NJ,1,5.05,4,3
73,kfc,centralNJ,NJ,0,5.25,4,16
73,kfc,centralNJ,NJ,1,5.05,6,15
74,roys,northNJ,NJ,0,5,12,20
74,roys,northNJ,NJ,1,5.05,6,11
75,wendys,centralNJ,NJ,0,5.5,8,12
75,wendys,centralNJ,NJ,1,5.05,10,35
76,roys,northNJ,NJ,0,5,6,50
76,roys,northNJ,NJ,1,5.05,4,60
77,roys,northNJ,NJ,0,5,13,10
77,roys,northNJ,NJ,1,5.05,10,12
78,wendys,northNJ,NJ,0,5,25,13
78,wendys,northNJ,NJ,1,5.05,0,45
79,wendys,northNJ,NJ,0,5,8,14.5
79,wendys,northNJ,NJ,1,5.05,25,8
80,burgerking,shoreNJ,NJ,0,5.5,7,20
80,burgerking,shoreNJ,NJ,1,5.05,0,35
81,burgerking,centralNJ,NJ,0,5,10,6
81,burgerking,centralNJ,NJ,1,5.5,6,25
82,kfc,centralNJ,NJ,0,5,0,25
82,kfc,centralNJ,NJ,1,5.05,2,20
83,wendys,northNJ,NJ,0,5,4,26
83,wendys,northNJ,NJ,1,5.05,5,25
84,kfc,centralNJ,NJ,0,5,6.5,7.5
84,kfc,centralNJ,NJ,1,5.05,3,16
85,roys,centralNJ,NJ,0,5.25,20,20
85,roys,centralNJ,NJ,1,5.05,7,18
86,roys,centralNJ,NJ,0,5.5,15,25
86,roys,centralNJ,NJ,1,5.05,8,22
87,wendys,centralNJ,NJ,0,5.05,10,30
87,wendys,centralNJ,NJ,1,5.05,4,37
88,burgerking,northNJ,NJ,0,5,5,17
88,burgerking,northNJ,NJ,1,5.28,10,8
89,burgerking,northNJ,NJ,0,5.12,8.5,6.5
89,burgerking,northNJ,NJ,1,5.25,6,0
90,burgerking,northNJ,NJ,0,5.25,4.5,30
90,burgerking,northNJ,NJ,1,5.05,7.5,30
91,burgerking,northNJ,NJ,0,5.12,35,15
91,burgerking,northNJ,NJ,1,5.05,12,13.5
92,kfc,northNJ,NJ,0,5,10,5
92,kfc,northNJ,NJ,1,5.5,12,8
93,roys,northNJ,NJ,0,5,8,25
93,roys,northNJ,NJ,1,5.05,26,12
94,roys,northNJ,NJ,0,5,12,18
94,roys,northNJ,NJ,1,5.05,1.5,33
95,roys,northNJ,NJ,0,5,4,30
95,roys,northNJ,NJ,1,5.05,5,15
96,wendys,northNJ,NJ,0,5,20,10
96,wendys,northNJ,NJ,1,5.05,10,17
97,burgerking,northNJ,NJ,0,5,12,33
97,burgerking,northNJ,NJ,1,5.05,20,6
98,burgerking,northNJ,NJ,0,5,10,20
98,burgerking,northNJ,NJ,1,5.05,20,20
99,roys,shoreNJ,NJ,0,5.62,4,20
99,roys,shoreNJ,NJ,1,5.05,5,17.5
100,roys,northNJ,NJ,0,5,5,42
100,roys,northNJ,NJ,1,5.05,7,30
101,wendys,northNJ,NJ,0,5,8,19
101,wendys,northNJ,NJ,1,5.05,0,30
102,burgerking,northNJ,NJ,0,5,23,10
102,burgerking,northNJ,NJ,1,5.05,5,21
103,burgerking,northNJ,NJ,0,5,0,10
103,burgerking,northNJ,NJ,1,5.05,10,4
104,roys,northNJ,NJ,0,5.1,15,35
104,roys,northNJ,NJ,1,5.05,15,15
105,roys,northNJ,NJ,0,5.25,25,10
105,roys,northNJ,NJ,1,5.05,12,10
106,roys,northNJ,NJ,0,5.5,15,8
106,roys,northNJ,NJ,1,5.05,8,12
107,burgerking,southNJ,NJ,0,5,13,12
107,burgerking,southNJ,NJ,1,5.05,15,15
108,burgerking,southNJ,NJ,0,5,10,18
108,burgerking,southNJ,NJ,1,5.05,0,42.5
109,kfc,southNJ,NJ,0,5,0,13
109,kfc,southNJ,NJ,1,5.05,0,15
110,kfc,southNJ,NJ,0,5.05,4,11
110,kfc,southNJ,NJ,1,5.25,2,14
111,kfc,southNJ,NJ,0,5.5,0,15
111,kfc,southNJ,NJ,1,5.05,3,7
112,kfc,southNJ,NJ,0,5,5,10
112,kfc,southNJ,NJ,1,5.05,5,15
113,burgerking,northNJ,NJ,0,5.3,5,16
113,burgerking,northNJ,NJ,1,5.05,4,9
114,kfc,northNJ,NJ,0,5,3,8
114,kfc,northNJ,NJ,1,5.05,6,12
115,kfc,northNJ,NJ,0,5,8,12
115,kfc,northNJ,NJ,1,5.05,2,7
116,kfc,shoreNJ,NJ,0,5,5,9
116,kfc,shoreNJ,NJ,1,5.05,4,6
117,kfc,shoreNJ,NJ,0,5,3,14
117,kfc,shoreNJ,NJ,1,5.05,4,11
118,roys,southNJ,NJ,0,5.25,20,46
118,roys,southNJ,NJ,1,5.05,22,39
119,roys,shoreNJ,NJ,0,5.15,18,45
119,roys,shoreNJ,NJ,1,5.05,0,45
120,wendys,shoreNJ,NJ,0,5.42,4,16
120,wendys,shoreNJ,NJ,1,5.67,3,20
121,burgerking,southNJ,NJ,0,5,10,10
121,burgerking,southNJ,NJ,1,5.05,0,20
122,roys,southNJ,NJ,0,5,2.5,27
122,roys,southNJ,NJ,1,5.05,0,20
123,wendys,southNJ,NJ,0,5.06,14,7
123,wendys,southNJ,NJ,1,5.05,9,7
124,wendys,southNJ,NJ,0,5.05,11.5,10
124,wendys,southNJ,NJ,1,5.05,0,28
125,wendys,northNJ,NJ,0,5,4.5,20
125,wendys,northNJ,NJ,1,5.25,21,6
126,burgerking,northNJ,NJ,0,5,12,23
126,burgerking,northNJ,NJ,1,5.25,11,22
127,burgerking,northNJ,NJ,0,5,14,12
127,burgerking,northNJ,NJ,1,5.05,18,15
128,burgerking,northNJ,NJ,0,5.25,25,10
128,burgerking,northNJ,NJ,1,5.5,0,25
129,burgerking,northNJ,NJ,0,5,10,8
129,burgerking,northNJ,NJ,1,5.05,20,15
130,burgerking,northNJ,NJ,0,5,10,20
130,burgerking,northNJ,NJ,1,5.05,15,15
131,roys,northNJ,NJ,0,5.05,13,31
131,roys,northNJ,NJ,1,5.05,11,23
132,wendys,northNJ,NJ,0,5,12,35
132,wendys,northNJ,NJ,1,5.5,17,22
133,wendys,northNJ,NJ,0,5.75,5,10
133,wendys,northNJ,NJ,1,5.5,8,7
134,burgerking,northNJ,NJ,0,5,3,60
134,burgerking,northNJ,NJ,1,5.05,0,15
135,burgerking,centralNJ,NJ,0,4.5,16,30
135,burgerking,centralNJ,NJ,1,5.05,20,40
136,burgerking,centralNJ,NJ,0,4.75,10,6
136,burgerking,centralNJ,NJ,1,5.25,7.5,10
137,kfc,centralNJ,NJ,0,4.25,6,13
137,kfc,centralNJ,NJ,1,5.05,4,7
138,roys,centralNJ,NJ,0,4.75,10,12
138,roys,centralNJ,NJ,1,5.05,5,30
139,roys,centralNJ,NJ,0,4.5,5,30
139,roys,centralNJ,NJ,1,5.15,10,30
140,burgerking,centralNJ,NJ,0,4.37,12,40
140,burgerking,centralNJ,NJ,1,5.05,0,32
141,burgerking,centralNJ,NJ,0,4.25,15,20
141,burgerking,centralNJ,NJ,1,5.05,15,15
142,burgerking,centralNJ,NJ,0,4.25,10,30
142,burgerking,centralNJ,NJ,1,5.05,12,24
143,burgerking,centralNJ,NJ,0,4.37,6.5,23.5
143,burgerking,centralNJ,NJ,1,5.05,15,15
144,kfc,centralNJ,NJ,0,4.5,0,25
144,kfc,centralNJ,NJ,1,5,2,11
145,roys,centralNJ,NJ,0,4.6,3,25
145,roys,centralNJ,NJ,1,5.05,5,20
146,roys,centralNJ,NJ,0,4.5,6,22
146,roys,centralNJ,NJ,1,5.05,7,17
147,roys,centralNJ,NJ,0,4.37,0,20
147,roys,centralNJ,NJ,1,5.05,4,35
148,roys,centralNJ,NJ,0,4.25,15,25
148,roys,centralNJ,NJ,1,5.05,8,38
149,burgerking,southNJ,NJ,0,4.25,4,31
149,burgerking,southNJ,NJ,1,5.05,6,44
150,kfc,southNJ,NJ,0,4.45,5,12
150,kfc,southNJ,NJ,1,5.05,0,11
151,roys,southNJ,NJ,0,4.35,3,15
151,roys,southNJ,NJ,1,5.05,3,15
152,burgerking,northNJ,NJ,0,4.5,0,25
152,burgerking,northNJ,NJ,1,5.05,14,14
153,burgerking,centralNJ,NJ,0,4.75,15,15
153,burgerking,centralNJ,NJ,1,5.05,15,20
154,kfc,northNJ,NJ,0,4.5,0,7
154,kfc,northNJ,NJ,1,5.05,0,13
155,roys,northNJ,NJ,0,4.5,10,20.5
155,roys,northNJ,NJ,1,5.05,2,25
156,roys,northNJ,NJ,0,4.95,5,15
156,roys,northNJ,NJ,1,5.05,11,7
157,wendys,northNJ,NJ,0,4.5,25,6.5
157,wendys,northNJ,NJ,1,5.05,13,18
158,burgerking,centralNJ,NJ,0,4.25,15,20
158,burgerking,centralNJ,NJ,1,5.05,10,20
159,burgerking,northNJ,NJ,0,4.25,26,6
159,burgerking,northNJ,NJ,1,5.05,15,10
160,burgerking,northNJ,NJ,0,4.5,20,15
160,burgerking,northNJ,NJ,1,5.05,13,13
161,burgerking,northNJ,NJ,0,4.25,15,18
161,burgerking,northNJ,NJ,1,5.05,26,10
162,burgerking,northNJ,NJ,0,4.5,5,15
162,burgerking,northNJ,NJ,1,5.05,4,17.5
163,burgerking,northNJ,NJ,0,4.25,30,10
163,burgerking,northNJ,NJ,1,5.05,13,17
164,burgerking,northNJ,NJ,0,4.25,0,27
164,burgerking,northNJ,NJ,1,5.05,0,27
165,burgerking,northNJ,NJ,0,4.5,35,20
165,burgerking,northNJ,NJ,1,5.05,10,30
166,burgerking,northNJ,NJ,0,4.75,0,35
166,burgerking,northNJ,NJ,1,5.05,29,14
167,kfc,northNJ,NJ,0,4.25,0,7
167,kfc,northNJ,NJ,1,5.05,14,0
168,kfc,northNJ,NJ,0,4.25,3,15
168,kfc,northNJ,NJ,1,5.05,4,11
169,roys,northNJ,NJ,0,4.25,8,32
169,roys,northNJ,NJ,1,5.05,25,15
170,roys,northNJ,NJ,0,4.5,6,25
170,roys,northNJ,NJ,1,5.05,8,18
171,wendys,northNJ,NJ,0,4.25,4.5,20
171,wendys,northNJ,NJ,1,5.05,11,14
172,burgerking,centralNJ,NJ,0,4.5,4,30
172,burgerking,centralNJ,NJ,1,5.05,12,30
173,burgerking,centralNJ,NJ,0,4.25,11,11
173,burgerking,centralNJ,NJ,1,5.05,9,12
174,burgerking,shoreNJ,NJ,0,4.5,0,15
174,burgerking,shoreNJ,NJ,1,5.05,0,30
175,burgerking,southNJ,NJ,0,4.25,3,35
175,burgerking,southNJ,NJ,1,5.05,4,37
176,burgerking,shoreNJ,NJ,0,4.25,8,22
176,burgerking,shoreNJ,NJ,1,5.05,0,30
177,burgerking,shoreNJ,NJ,0,4.25,4,18
177,burgerking,shoreNJ,NJ,1,5.05,14,6
178,burgerking,northNJ,NJ,0,4.25,2.5,30
178,burgerking,northNJ,NJ,1,5.05,5,25
179,kfc,centralNJ,NJ,0,4.25,18,3
179,kfc,centralNJ,NJ,1,5.05,0,14
180,kfc,northNJ,NJ,0,4.25,0,15
180,kfc,northNJ,NJ,1,5.05,0,15
181,kfc,centralNJ,NJ,0,4.25,0,12
181,kfc,centralNJ,NJ,1,5.05,2.5,11
182,kfc,shoreNJ,NJ,0,4.25,0,20
182,kfc,shoreNJ,NJ,1,5.05,3,13
183,roys,shoreNJ,NJ,0,4.75,60,40
183,roys,shoreNJ,NJ,1,5.05,30,50
184,roys,shoreNJ,NJ,0,4.75,4.5,15
184,roys,shoreNJ,NJ,1,5.05,10,12
185,roys,southNJ,NJ,0,4.4,12,13
185,roys,southNJ,NJ,1,5.05,0,27
186,wendys,shoreNJ,NJ,0,4.62,40,20
186,wendys,shoreNJ,NJ,1,5.05,11,10
187,burgerking,northNJ,NJ,0,4.25,0,40
187,burgerking,northNJ,NJ,1,5.05,0,45
188,burgerking,northNJ,NJ,0,4.25,0,35
188,burgerking,northNJ,NJ,1,5.05,2,25
189,burgerking,northNJ,NJ,0,4.25,6,11
189,burgerking,northNJ,NJ,1,5.05,13.5,10
190,burgerking,northNJ,NJ,0,4.25,13.5,15
190,burgerking,northNJ,NJ,1,5.05,11,24
191,roys,northNJ,NJ,0,4.25,17,14
191,roys,northNJ,NJ,1,5.05,20,14.5
192,burgerking,centralNJ,NJ,0,4.75,0,35
192,burgerking,centralNJ,NJ,1,5.25,20,40
193,burgerking,centralNJ,NJ,0,4.75,20,25
193,burgerking,centralNJ,NJ,1,5.05,6,15
194,burgerking,centralNJ,NJ,0,4.25,4,22.5
194,burgerking,centralNJ,NJ,1,5.05,22,12
195,burgerking,northNJ,NJ,0,4.25,10,15
195,burgerking,northNJ,NJ,1,5.05,18,20
196,burgerking,northNJ,NJ,0,4.75,12,19
196,burgerking,northNJ,NJ,1,5.05,18,13
197,burgerking,centralNJ,NJ,0,4.5,0,32
197,burgerking,centralNJ,NJ,1,5.05,0,30
198,burgerking,northNJ,NJ,0,4.25,1,38
198,burgerking,northNJ,NJ,1,5.05,10,50
199,burgerking,centralNJ,NJ,0,4.25,8,10
199,burgerking,centralNJ,NJ,1,5.05,21,6
200,kfc,centralNJ,NJ,0,4.5,15,0
200,kfc,centralNJ,NJ,1,5.05,0,15
201,roys,centralNJ,NJ,0,4.5,7,25.5
201,roys,centralNJ,NJ,1,5.05,2,38
202,roys,centralNJ,NJ,0,4.5,20,20
202,roys,centralNJ,NJ,1,5.5,15,20
203,roys,centralNJ,NJ,0,4.75,6,16
203,roys,centralNJ,NJ,1,5.05,3,20
204,roys,centralNJ,NJ,0,4.62,5.5,25
204,roys,centralNJ,NJ,1,5.05,6,27.5
205,roys,northNJ,NJ,0,4.25,15,25
205,roys,northNJ,NJ,1,5.05,12,30
206,wendys,centralNJ,NJ,0,4.5,0,40
206,wendys,centralNJ,NJ,1,5.67,5,35
207,wendys,centralNJ,NJ,0,4.75,10,15
207,wendys,centralNJ,NJ,1,5.05,10,25
208,wendys,northNJ,NJ,0,4.25,15,35
208,wendys,northNJ,NJ,1,5.05,40,31
209,burgerking,northNJ,NJ,0,4.8,8,20
209,burgerking,northNJ,NJ,1,5.05,0,32
210,burgerking,northNJ,NJ,0,4.5,0,20
210,burgerking,northNJ,NJ,1,5.05,8,10
211,burgerking,northNJ,NJ,0,4.67,0,27.5
211,burgerking,northNJ,NJ,1,5.75,12,20
212,burgerking,northNJ,NJ,0,4.87,8,15
212,burgerking,northNJ,NJ,1,5.05,2,18
213,kfc,northNJ,NJ,0,4.5,2,7
213,kfc,northNJ,NJ,1,5.05,3,4
214,kfc,northNJ,NJ,0,4.5,6,12
214,kfc,northNJ,NJ,1,5.25,10,5
215,roys,northNJ,NJ,0,4.75,0,40
215,roys,northNJ,NJ,1,5.05,3,30
216,wendys,northNJ,NJ,0,4.75,8,32
216,wendys,northNJ,NJ,1,5.05,0,35
217,burgerking,northNJ,NJ,0,4.25,5,20
217,burgerking,northNJ,NJ,1,5.25,0,32
218,burgerking,shoreNJ,NJ,0,4.25,2,32
218,burgerking,shoreNJ,NJ,1,5.05,10,12.5
219,burgerking,northNJ,NJ,0,4.75,0,24
219,burgerking,northNJ,NJ,1,5.05,7,23
220,burgerking,northNJ,NJ,0,4.85,6,40
220,burgerking,northNJ,NJ,1,5.05,11,30
221,burgerking,shoreNJ,NJ,0,4.75,11,20
221,burgerking,shoreNJ,NJ,1,5.05,20,20
222,burgerking,northNJ,NJ,0,4.62,15,21
222,burgerking,northNJ,NJ,1,5.05,20,27.5
223,kfc,shoreNJ,NJ,0,4.25,13,12
223,kfc,shoreNJ,NJ,1,5.05,1,10
224,kfc,northNJ,NJ,0,4.25,2,12
224,kfc,northNJ,NJ,1,5.05,2,10
225,kfc,shoreNJ,NJ,0,4.5,8,3
225,kfc,shoreNJ,NJ,1,5.05,0,17.5
226,kfc,shoreNJ,NJ,0,4.5,3,15
226,kfc,shoreNJ,NJ,1,5.05,0,15
227,kfc,northNJ,NJ,0,4.62,12,4
227,kfc,northNJ,NJ,1,5.05,15,10
228,kfc,shoreNJ,NJ,0,4.5,2,9
228,kfc,shoreNJ,NJ,1,5.05,2,6
229,roys,northNJ,NJ,0,4.75,10,20
229,roys,northNJ,NJ,1,5.05,12,18
230,roys,northNJ,NJ,0,4.75,4,15
230,roys,northNJ,NJ,1,5.05,0,19
231,wendys,northNJ,NJ,0,4.87,20,10
231,wendys,northNJ,NJ,1,5.25,4.5,30
232,wendys,shoreNJ,NJ,0,4.5,1,13
232,wendys,shoreNJ,NJ,1,5.05,4,9
233,wendys,shoreNJ,NJ,0,4.25,0,30
233,wendys,shoreNJ,NJ,1,5.05,8,25
234,kfc,northNJ,NJ,0,4.35,0,12
234,kfc,northNJ,NJ,1,5.05,11,3
235,burgerking,northNJ,NJ,0,4.25,0,60
235,burgerking,northNJ,NJ,1,5.05,5,40
236,burgerking,northNJ,NJ,0,4.5,0,33
236,burgerking,northNJ,NJ,1,5.05,16,22
237,burgerking,northNJ,NJ,0,4.25,30,14
237,burgerking,northNJ,NJ,1,5.05,13,11
238,burgerking,northNJ,NJ,0,4.25,9,12
238,burgerking,northNJ,NJ,1,5.05,4,34
239,burgerking,northNJ,NJ,0,4.25,10,8.5
239,burgerking,northNJ,NJ,1,5.05,12,13.5
240,kfc,northNJ,NJ,0,4.75,8,10
240,kfc,northNJ,NJ,1,5.2,8.5,6
241,roys,northNJ,NJ,0,4.62,12,32
241,roys,northNJ,NJ,1,5.05,5,32
242,roys,northNJ,NJ,0,4.25,4,36
242,roys,northNJ,NJ,1,5.05,6,37
243,wendys,northNJ,NJ,0,4.5,0,19
243,wendys,northNJ,NJ,1,5.05,0,14
244,burgerking,southNJ,NJ,0,4.5,3,28
244,burgerking,southNJ,NJ,1,5.05,2,35
245,burgerking,southNJ,NJ,0,4.5,11,17.5
245,burgerking,southNJ,NJ,1,5.05,20,15
246,burgerking,southNJ,NJ,0,4.55,4.5,20
246,burgerking,southNJ,NJ,1,5.05,12,17.5
247,burgerking,southNJ,NJ,0,4.62,2,30
247,burgerking,southNJ,NJ,1,5.05,0,35
248,burgerking,southNJ,NJ,0,4.5,10,10
248,burgerking,southNJ,NJ,1,5.05,20,10
249,kfc,southNJ,NJ,0,4.25,2,11
249,kfc,southNJ,NJ,1,5.05,2,18
250,kfc,southNJ,NJ,0,4.25,2,13
250,kfc,southNJ,NJ,1,5.05,0,12
251,kfc,southNJ,NJ,0,4.35,7,4
251,kfc,southNJ,NJ,1,5.05,5,3
252,kfc,southNJ,NJ,0,4.25,3,9
252,kfc,southNJ,NJ,1,5.05,9,9
253,kfc,southNJ,NJ,0,4.25,3,15
253,kfc,southNJ,NJ,1,5.05,3,12
254,kfc,southNJ,NJ,0,4.6,1,28
254,kfc,southNJ,NJ,1,5.05,1,15
255,roys,southNJ,NJ,0,4.25,2,24
255,roys,southNJ,NJ,1,5.05,2,15
256,roys,southNJ,NJ,0,4.75,3,18
256,roys,southNJ,NJ,1,5.05,3,20
257,roys,southNJ,NJ,0,4.75,3,27
257,roys,southNJ,NJ,1,5.05,12,25
258,wendys,southNJ,NJ,0,4.25,0,22
258,wendys,southNJ,NJ,1,5.3,0,26
259,wendys,southNJ,NJ,0,4.5,3,28.5
259,wendys,southNJ,NJ,1,5.05,11,19
260,burgerking,northNJ,NJ,0,4.5,3,40
260,burgerking,northNJ,NJ,1,5.5,22,11
261,burgerking,northNJ,NJ,0,4.25,0,25
261,burgerking,northNJ,NJ,1,5.05,15,17
262,burgerking,northNJ,NJ,0,4.75,18,6
262,burgerking,northNJ,NJ,1,5.05,18,10
263,burgerking,northNJ,NJ,0,4.65,19,7
263,burgerking,northNJ,NJ,1,5.05,15,7
264,burgerking,northNJ,NJ,0,4.25,12,11
264,burgerking,northNJ,NJ,1,5.05,9,17
265,kfc,northNJ,NJ,0,4.75,0,22
265,kfc,northNJ,NJ,1,5.05,25,15
266,kfc,northNJ,NJ,0,4.25,15,4
266,kfc,northNJ,NJ,1,5.05,0,19
267,roys,northNJ,NJ,0,4.5,7,25
267,roys,northNJ,NJ,1,5.05,7,22
268,roys,northNJ,NJ,0,4.25,12,30
268,roys,northNJ,NJ,1,5.05,16,12
269,wendys,northNJ,NJ,0,4.5,0,40
269,wendys,northNJ,NJ,1,5.05,0,40
270,wendys,northNJ,NJ,0,4.75,8,16
270,wendys,northNJ,NJ,1,5.05,10,14
271,burgerking,shoreNJ,NJ,0,4.37,6,6
271,burgerking,shoreNJ,NJ,1,5.05,10,12
272,kfc,shoreNJ,NJ,0,4.5,1,4
272,kfc,shoreNJ,NJ,1,5.05,2,4
273,roys,southNJ,NJ,0,4.87,7,7
273,roys,southNJ,NJ,1,5.05,4,8
274,burgerking,southNJ,NJ,0,4.25,4,22
274,burgerking,southNJ,NJ,1,5.05,20,18
275,burgerking,southNJ,NJ,0,4.25,10,20
275,burgerking,southNJ,NJ,1,5.05,4,26
276,burgerking,southNJ,NJ,0,4.25,7,13
276,burgerking,southNJ,NJ,1,5.05,0,22.5
277,burgerking,southNJ,NJ,0,4.25,0,10
277,burgerking,southNJ,NJ,1,5.05,0,23
278,burgerking,southNJ,NJ,0,4.25,6.5,20
278,burgerking,southNJ,NJ,1,5.05,30,25
279,kfc,southNJ,NJ,0,4.45,2,10
279,kfc,southNJ,NJ,1,5.05,10,3
280,kfc,southNJ,NJ,0,4.62,2,14
280,kfc,southNJ,NJ,1,5.05,2,11
281,kfc,southNJ,NJ,0,4.25,4,4
281,kfc,southNJ,NJ,1,5.05,1,8
282,kfc,southNJ,NJ,0,4.25,2,15
